Year,MM,DD,HH,MM,Sec,Latitude,Longitude,Depth,stations,RMS,Mc,AzGap,TimeErr,LatErr,LonErr,DepthErr
2008,11,27,10,14,44.3,-26.886,-65.715,15.1,16,0.4,,251,1.02,3.7,5.3,8.0
2008,11,27,14,59,16.6,-28.134,-67.405,119.6,30,0.9,,229,2.46,13.6,7.1,8.3
2008,11,27,18,04,22.4,-28.464,-67.659,102.8,19,0.7,,257,2.01,13.8,7.9,12.0
2008,11,27,18,14,24.7,-27.649,-67.350,131.6,17,0.7,,135,1.96,10.8,7.5,10.0
2008,11,28,09,20,20.9,-25.846,-69.136,84.2,15,0.3,,135,0.94,3.7,8.5,8.5
2008,11,28,17,08,7.0,-27.889,-66.815,150.4,15,0.5,,200,1.48,11.0,7.6,8.3
2008,11,29,06,26,10.0,-28.012,-68.347,35.1,18,1.2,,256,3.15,13.5,13.5,7.2
2008,11,29,07,10,55.0,-27.965,-66.851,140.3,24,0.7,,210,1.89,12.7,7.3,11.0
2008,11,30,19,27,42.9,-27.870,-66.739,157.9,40,0.7,,199,1.80,11.7,11.2,11.7
2008,12,2,04,19,4.9,-26.995,-67.136,12.7,35,0.9,,111,2.54,2.0,2.6,7.6
