2008 3 29 0 59 15.850 -26.528217 -67.241984 1.619 0.032	67.942 93.416 313.04
2008 3 29 4 20 14.510 -26.685811 -67.212122 7.916 0.032	116.236 99.375 164.745
2008 3 29 4 28 11.340 -26.687000 -67.213383 7.847 0.032	109.78 43.278 122.01
2008 3 29 5 8 53.220 -26.528467 -67.242432 1.284 0.040	63.342 91.048 235.04
2008 3 29 6 6 4.220 -26.687433 -67.212439 8.01 0.035	86.502 56.478 158.975
2008 3 29 7 27 56.880 -26.685964 -67.212028 7.673 0.034	99.757 72.329 170.065
2008 3 29 7 32 33.550 -26.686418 -67.212097 7.676 0.033	84.059 72.328 148.955
2008 3 29 7 59 52.170 -26.686991 -67.212793 7.692 0.037	62.024 68.048 112.72
2008 3 29 8 25 9.120 -26.942015 -67.384843 9.839 0.049	155.704 142.529 489.6
2008 3 29 11 20 40.440 -26.687463 -67.212386 7.541 0.035	73.98 56.991 147.345
2008 3 29 13 24 35.930 -26.687459 -67.212594 7.713 0.033	53.141 79.412 121.59
2008 3 29 14 18 38.670 -26.687506 -67.212952 7.513 0.035	43.73 89.696 144.88
2008 3 29 14 33 11.880 -26.687225 -67.211564 7.465 0.034	116.195 107.02 196.95
2008 3 29 15 9 41.550 -26.688326 -67.212260 7.504 0.033	77.924 79.553 140.215
2008 3 30 1 12 12.380 -26.687404 -67.210624 7.852 0.026	330.364 291.123 335.555
2008 4 1 13 42 7.960 -26.630686 -67.670524 4.877 0.034	208.056 80.558 366.86
2008 4 1 15 1 58.540 -26.490493 -67.602022 6.919 0.041	89.406 123.252 308.32
2008 4 4 6 22 35.880 -25.708034 -67.003837 4.924 0.044	93.069 95.519 388.745
2008 4 4 9 10 8.260 -26.925832 -66.990869 2.411 0.029	170.473 231.006 1262.513
2008 4 5 6 23 55.590 -26.530817 -67.295121 8.825 0.054	190.406 193.763 337.45
2008 4 5 14 13 28.190 -26.635980 -67.583773 5.471 0.036	128.972 87.211 132.03
2008 4 6 2 38 54.920 -26.467269 -67.588265 13.724 0.045	165.041 106.7 194.025
2008 4 6 5 9 37.940 -25.858004 -66.989197 5.326 0.042	169.779 197.492 336.44
2008 4 6 6 22 12.530 -26.658346 -67.606958 6.232 0.045	207.711 138.078 301.23
2008 4 6 20 41 13.320 -26.068852 -66.660018 0.829 0.045	64.801 82.161 298.295
2008 4 7 0 55 36.750 -26.687575 -67.210807 7.568 0.029	74.408 48.733 148.0
2008 4 7 0 57 29.800 -26.686487 -67.210193 7.906 0.025	236.303 155.864 213.26
2008 4 7 5 36 55.710 -26.962701 -67.431108 9.21 0.046	175.99 155.189 400.315
