	 2 	 40   25.02
	 2 	 73   53.86
	 2 	 71   51.32
	 1 	 10   16.03
	 2 	 10   26.81
	 1 	 8   20.71
	 2 	 8   34.68
	 1 	 9   17.92
	 2 	 9   29.78
	 2 	 20   50.39
	 2 	 23   57.37
	 1 	 12   10.39
	 2 	 12   17.24
	 2 	 74   52.25
	 2 	 13   13.30
	 1 	 13   7.84
	 2 	 14   11.85
	 1 	 14   6.87
	 2 	 15   9.96
	 1 	 15   6.03
	 2 	 16   11.33
	 1 	 16   6.71
	 2 	 17   18.53
-67.0718 	 -26.4381 	 1.87 	 21
	 1 	 21   4.63
	 2 	 21   7.75
	 1 	 20   6.04
	 2 	 20   9.98
	 1 	 19   8.12
	 2 	 19   13.54
	 1 	 18   9.70
	 2 	 18   15.79
	 1 	 22   10.08
	 2 	 22   17.12
	 1 	 23   11.02
	 2 	 23   18.17
	 2 	 25   21.84
	 1 	 74   12.22
	 2 	 74   20.16
	 2 	 9   12.31
	 1 	 9   7.26
	 2 	 10   16.43
	 1 	 10   9.89
	 2 	 8   10.75
	 1 	 8   6.10
-67.073 	 -26.4397 	 2.36 	 24
	 1 	 21   4.64
	 2 	 21   7.77
	 1 	 20   6.06
	 2 	 20   9.98
	 1 	 19   8.14
	 2 	 19   13.57
	 1 	 18   9.83
	 2 	 18   15.80
	 1 	 22   10.13
	 2 	 22   16.48
	 1 	 23   11.05
	 2 	 23   18.18
	 2 	 25   21.86
	 1 	 26   15.19
	 2 	 28   30.39
	 1 	 74   12.27
	 2 	 74   20.16
	 1 	 13   18.13
	 1 	 9   7.30
	 2 	 9   12.26
	 1 	 10   9.68
	 2 	 10   16.41
	 1 	 8   6.16
	 2 	 8   10.76
-67.3357 	 -25.837 	 5.79 	 24
	 1 	 21   10.96
	 2 	 21   19.79
	 1 	 20   9.25
	 2 	 20   15.87
	 1 	 19   7.61
	 2 	 18   9.27
	 1 	 18   5.70
	 1 	 22   4.61
	 2 	 22   7.44
	 1 	 23   2.79
	 2 	 23   4.35
	 1 	 24   1.90
	 2 	 24   2.91
	 1 	 29   8.77
	 1 	 27   5.45
	 2 	 28   11.79
	 1 	 28   6.74
	 1 	 25   2.67
	 2 	 25   4.19
	 1 	 74   7.21
	 2 	 74   11.86
	 2 	 9   32.83
	 1 	 9   19.66
	 1 	 8   18.25
-66.588 	 -27.3196 	 3.31 	 43
	 1 	 40   6.04
	 2 	 40   10.86
	 1 	 73   23.54
	 2 	 73   35.52
	 1 	 72   19.16
	 2 	 39   17.92
	 1 	 39   10.30
	 1 	 46   27.26
	 2 	 71   31.34
	 1 	 71   18.26
	 2 	 70   30.56
	 1 	 70   17.80
	 1 	 69   19.38
	 2 	 30   47.46
	 1 	 30   27.24
	 1 	 68   20.54
	 2 	 68   36.40
	 1 	 67   20.54
	 1 	 66   19.16
	 1 	 57   35.28
	 1 	 58   37.18
	 2 	 38   13.60
	 1 	 38   7.74
	 1 	 49   18.06
	 1 	 21   21.31
	 1 	 20   23.31
	 1 	 8   13.32
	 1 	 19   25.93
	 2 	 9   20.21
	 1 	 9   11.68
	 2 	 10   16.56
	 1 	 10   9.61
	 1 	 25   31.80
	 1 	 74   28.98
	 2 	 12   19.65
	 1 	 12   11.57
	 1 	 13   12.30
	 1 	 14   12.95
	 1 	 15   15.82
	 2 	 42   7.22
	 1 	 42   3.98
	 2 	 41   20.46
	 1 	 41   11.82
-67.3883 	 -26.5125 	 19.28 	 16
	 2 	 66   21.14
	 2 	 19   12.33
	 1 	 19   8.41
	 2 	 20   8.79
	 1 	 20   6.02
	 2 	 23   18.25
	 1 	 23   12.22
	 2 	 21   6.28
	 1 	 21   4.60
	 1 	 74   15.22
	 2 	 74   24.84
	 2 	 9   17.85
	 1 	 8   9.61
	 2 	 8   14.62
	 2 	 49   7.57
	 1 	 49   5.48
-67.039 	 -26.9763 	 8.87 	 16
	 1 	 60   11.14
	 2 	 60   18.70
	 1 	 49   8.82
	 2 	 49   14.42
	 1 	 48   6.86
	 2 	 48   11.70
	 1 	 21   11.94
	 2 	 21   19.92
	 1 	 8   5.12
	 2 	 8   8.54
	 1 	 9   5.75
	 2 	 9   9.89
	 1 	 10   5.92
	 2 	 10   9.86
	 1 	 38   3.90
	 2 	 38   6.82
-67.374 	 -26.7614 	 10.23 	 28
	 1 	 71   16.61
	 2 	 69   25.59
	 1 	 69   14.87
	 2 	 66   15.57
	 1 	 60   5.53
	 2 	 60   9.15
	 1 	 22   14.30
	 2 	 20   14.83
	 1 	 20   8.88
	 1 	 23   15.73
	 1 	 21   6.96
	 2 	 21   11.55
	 1 	 27   22.25
	 1 	 74   19.37
	 2 	 49   7.43
	 1 	 49   4.57
	 2 	 48   7.89
	 1 	 48   4.43
	 1 	 8   7.13
	 2 	 8   11.74
	 1 	 9   10.16
	 2 	 9   15.55
	 1 	 10   11.00
	 2 	 10   17.98
	 2 	 38   17.51
